Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1997,55.65,0.0,0.39,2.12,0.2,17.37,3.45,0.0,-999,0.0,16.74,7.5,10.14,7.19,3.87,2.08,0.0,3.21,0.34,25.26,8.47,36.63,8.1,0.0,19.42,0.01,42.7,11.4,17.14,0.5,7.06,2.56,11.72,6.31,0.0,0.0,3.37,1.21,0.0,26.86,0.54,0.0,5.15,1.27,18.22,0.51,22.39,4.72,24.43
1998,45.02,0.0,0.0,1.36,1.71,13.69,1.36,0.0,-999,0.0,9.59,5.9,1.8,0.16,2.71,0.0,0.0,1.52,0.05,14.82,2.11,23.25,0.68,0.0,16.94,0.02,32.55,8.59,9.37,0.15,3.95,4.41,5.06,0.0,0.0,1.41,0.6,0.11,0.0,19.2,0.0,0.0,3.6,0.25,10.92,1.83,11.91,0.41,18.57
1999,71.38,0.0,0.0,0.62,0.12,8.16,1.97,0.0,-999,0.0,12.76,1.68,7.73,4.91,1.09,0.0,0.0,5.97,0.15,17.82,10.0,24.55,2.62,0.0,5.51,0.01,26.02,4.61,17.81,0.39,1.99,1.08,14.47,3.84,0.0,0.1,1.44,0.49,0.0,13.48,0.0,0.0,1.09,0.07,18.58,0.0,20.14,0.83,7.33
2000,34.7,0.0,0.03,1.12,0.01,12.32,3.84,0.0,-999,0.0,22.36,1.76,12.42,9.38,2.19,0.5,0.0,9.17,0.17,24.55,13.48,40.34,4.56,0.0,19.16,0.24,44.79,11.13,25.86,1.1,4.94,0.76,20.54,10.31,0.0,0.21,3.77,0.11,0.0,25.79,0.3,0.0,0.68,0.73,27.2,0.24,29.81,6.1,19.64
2001,50.3,0.0,0.21,3.22,0.04,13.8,2.08,0.0,-999,0.0,14.75,5.84,3.66,0.96,1.49,0.3,0.0,4.32,0.05,29.46,3.89,30.19,2.49,0.0,15.1,0.09,34.48,6.44,20.06,0.27,7.69,3.07,5.77,0.56,0.0,0.6,0.0,0.11,0.0,23.55,0.03,0.0,4.56,0.29,15.57,0.0,19.58,0.13,19.64
2002,33.86,0.0,0.02,2.34,0.32,18.42,0.71,0.0,-999,0.0,5.47,5.14,1.2,0.22,1.82,0.0,0.0,0.91,0.11,8.92,3.27,20.5,0.68,0.0,22.21,0.01,36.9,5.76,10.81,0.15,5.33,2.95,5.95,0.11,0.0,0.36,0.0,0.11,0.0,16.55,0.1,0.0,4.7,0.18,9.26,0.0,9.52,0.83,23.78
2003,42.35,0.0,0.17,0.53,0.04,11.38,5.48,0.0,-999,0.0,18.42,1.43,6.27,4.41,2.45,2.14,0.0,14.48,0.67,37.81,15.91,44.67,3.57,0.18,19.45,0.15,55.98,8.57,35.78,1.92,2.17,0.49,24.92,5.05,0.0,0.12,4.16,2.74,0.0,25.72,0.48,0.0,1.68,1.13,37.14,0.33,32.28,3.21,16.28
2004,47.63,0.0,0.14,1.77,0.13,14.9,9.13,0.0,-999,0.0,19.74,5.85,7.04,5.61,4.9,1.26,0.0,11.65,0.55,30.27,16.51,33.83,2.63,0.0,14.19,0.01,38.88,14.72,25.36,1.34,4.53,4.3,23.54,6.8,0.0,0.71,8.73,4.95,0.0,22.88,0.09,0.14,4.9,0.77,30.41,1.66,27.99,4.1,18.48
2005,45.1,0.0,0.0,1.15,0.55,11.09,5.79,0.0,-999,0.0,15.95,7.71,5.21,3.07,4.0,0.0,0.0,11.53,0.45,29.81,10.41,34.85,1.34,0.0,21.9,0.04,39.23,13.06,26.77,1.82,3.94,2.6,19.3,4.22,0.0,1.32,6.03,3.51,0.0,24.18,0.01,0.0,2.77,0.84,26.55,1.39,22.85,1.24,15.87
2006,59.57,0.0,0.0,1.62,0.02,17.32,0.86,0.0,-999,0.0,3.78,5.86,1.9,0.24,1.13,0.0,0.0,0.72,0.07,4.5,1.87,15.6,0.37,0.0,11.0,0.01,21.01,5.06,7.69,0.15,3.55,4.71,4.77,0.04,0.0,0.61,0.0,0.11,0.0,7.77,0.0,0.0,3.27,0.19,7.79,0.4,6.9,0.96,17.3
