Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1977,-999,-999,-999,-999,-999,0.0,-999,0.03,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.14,0.27,3.53,0.0,-999,0.69,0.0,2.69,0.0,0.0,-999,0.0,0.0,0.08,0.0,-999,0.0,0.0,-999,-999,0.38,-999,-999,0.02,-999,0.0,0.0,0.87,-999.0,-999
1978,-999,-999,-999,-999,-999,0.0,-999,0.2,-999,-999,-999,-999,0.0,0.18,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.2,0.48,0.0,-999,1.14,0.0,0.71,0.0,0.08,-999,0.63,0.0,0.17,0.0,-999,0.0,0.0,-999,-999,0.07,-999,-999,0.14,-999,0.0,0.08,0.04,0.0,-999
1979,-999,-999,-999,-999,-999,0.0,-999,0.35,-999,-999,-999,-999,0.08,0.4,0.0,0.0,0.0,-999,-999,-999,-999,0.14,2.55,2.73,0.0,-999,1.35,0.0,2.35,0.0,0.11,-999,0.04,0.0,1.08,0.0,-999,0.0,0.25,-999,-999,0.1,-999,-999,0.43,-999,0.47,0.0,1.65,0.0,-999
1980,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.5,0.0,-999,0.48,0.0,0.56,0.0,0.04,-999,0.04,0.0,0.08,0.0,-999,0.0,0.0,-999,-999,0.06,-999,-999,0.06,-999,0.23,0.0,0.01,0.0,-999
1981,-999,-999,-999,-999,-999,0.0,-999,0.03,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.54,0.61,0.55,0.0,-999,0.12,0.0,0.01,0.01,0.15,-999,0.04,0.0,0.44,0.0,-999,0.0,0.0,-999,-999,0.02,-999,-999,0.02,-999,0.5,0.0,0.01,0.0,-999
1982,-999,-999,-999,-999,-999,0.0,-999,0.31,-999,-999,-999,-999,0.0,0.15,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.52,4.3,0.0,-999,1.8,0.0,3.2,0.02,0.04,-999,0.37,0.0,0.05,0.0,-999,0.0,0.0,-999,-999,0.47,-999,-999,0.15,-999,0.0,0.0,1.61,0.0,-999
1983,-999,-999,-999,-999,-999,0.0,-999,0.11,-999,-999,-999,-999,0.02,0.16,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.57,2.13,0.0,-999,2.78,0.0,2.58,0.14,0.08,-999,0.11,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.82,-999,-999,0.02,-999,0.0,0.0,1.08,0.0,-999
1984,-999,-999,-999,-999,-999,0.0,-999,0.49,-999,-999,-999,-999,0.0,0.18,0.0,0.0,0.0,-999,-999,-999,-999,0.0,1.07,0.78,0.0,-999,0.4,0.0,0.41,0.0,0.42,-999,0.04,0.0,0.08,0.0,-999,0.0,0.5,-999,-999,0.04,-999,-999,0.19,-999,0.0,0.0,0.57,0.0,-999
1985,-999,-999,-999,-999,-999,0.5,-999,0.53,-999,-999,-999,-999,0.0,0.69,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.61,2.15,0.0,-999,1.08,1.0,1.65,0.0,0.08,-999,0.2,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.12,-999,-999,0.23,-999,0.0,0.0,0.96,0.0,-999
1986,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.41,0.47,0.0,-999,0.17,0.0,0.31,0.0,0.0,-999,0.0,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.03,-999,-999,0.02,-999,0.0,0.0,0.11,0.0,-999
