Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1997,7.92,-999,-999,18.91,14.68,1.58,4.85,2.36,8.65,6.8,18.97,18.11,6.94,1.49,7.53,9.16,8.91,11.81,21.34,8.01,7.98,5.27,4.53,5.01,9.46,21.68,1.69,11.66,3.34,5.25,8.62,8.13,3.18,0.38,5.14,6.66,12.84,5.52,6.04,11.38,16.03,5.2,15.63,-999,1.02,6.51,5.5,7.64,5.62,7.08,1.08
1998,8.03,-999,-999,18.21,13.9,1.96,8.66,1.64,11.81,8.69,17.78,17.0,9.52,1.24,11.41,11.2,9.16,12.24,20.13,13.97,11.13,8.97,5.3,6.42,14.37,19.04,1.47,15.51,4.59,5.74,12.78,11.08,2.18,0.71,7.8,8.95,10.68,7.55,9.15,17.63,15.97,5.62,16.84,-999,1.23,13.16,7.04,7.36,7.22,8.68,1.43
1999,9.12,-999,-999,16.52,14.04,2.17,3.57,2.21,12.27,13.41,15.1,11.06,8.23,1.31,8.94,8.41,8.98,8.76,15.64,10.93,11.76,9.84,5.1,6.88,11.51,15.07,0.99,13.79,4.06,5.66,11.53,11.51,3.2,0.3,6.4,5.15,11.86,6.26,9.23,13.96,11.39,4.67,12.76,-999,0.69,10.99,6.08,7.91,7.09,7.92,1.14
2000,7.54,-999,-999,13.73,14.22,2.3,5.25,1.29,9.85,12.01,11.77,11.33,6.65,1.21,10.02,11.69,6.22,12.34,15.97,12.21,9.81,7.78,6.48,5.18,9.5,13.42,0.85,11.67,4.18,4.32,10.45,12.4,2.42,0.3,8.26,9.35,10.26,3.9,8.48,13.64,11.99,3.68,13.14,-999,0.81,10.05,7.05,3.3,7.62,9.42,1.04
2001,6.51,-999,-999,19.01,17.77,0.92,5.46,1.37,9.35,8.63,16.18,11.79,8.04,0.63,9.45,11.24,8.13,10.77,23.22,9.96,7.13,4.29,5.68,6.12,12.96,23.02,1.26,9.39,3.06,5.61,8.13,8.01,1.31,0.27,5.11,7.27,9.52,3.8,6.12,10.73,9.82,4.2,16.05,-999,0.41,8.74,3.21,5.16,6.57,7.45,0.8
2002,9.25,-999,-999,17.46,17.04,1.13,4.69,0.64,12.33,13.81,18.9,15.22,7.18,0.81,9.97,11.44,5.63,14.42,21.57,11.16,9.28,6.64,4.47,6.21,11.26,21.14,1.27,13.11,2.14,2.83,9.83,13.03,1.53,0.27,8.73,7.43,11.75,5.36,9.05,13.29,14.12,2.6,18.4,-999,0.8,9.56,8.17,5.6,7.83,9.8,0.47
2003,7.91,-999,-999,20.98,12.5,1.54,4.31,1.56,15.18,16.58,18.59,16.59,6.79,1.01,10.12,12.0,6.45,15.1,16.24,14.5,18.87,11.34,5.0,3.82,10.42,18.76,0.65,18.9,2.09,3.5,13.02,16.34,1.0,0.46,10.52,10.33,7.5,4.79,12.5,18.28,15.53,3.08,18.08,-999,0.64,16.97,9.5,6.3,5.2,12.45,0.77
2004,9.69,-999,-999,18.25,17.21,2.04,5.61,1.68,12.19,14.79,17.96,13.52,8.8,0.74,9.97,10.22,8.13,15.56,23.8,11.82,12.45,7.39,5.65,6.57,13.09,21.51,1.18,13.14,3.32,4.24,10.61,12.21,3.25,0.6,8.5,9.34,11.45,4.36,10.84,12.62,11.68,4.59,19.44,-999,1.67,12.57,6.68,5.11,6.58,13.04,0.57
2005,7.27,-999,-999,17.2,10.09,2.22,7.09,1.58,11.22,11.52,20.05,16.46,6.5,1.51,7.35,11.28,8.02,7.6,13.35,14.24,12.75,16.45,4.57,6.84,10.48,14.72,1.69,13.05,4.31,6.22,16.62,14.11,1.93,0.92,11.16,9.18,8.35,6.41,8.85,17.26,12.82,3.97,12.1,-999,1.32,9.69,9.61,5.25,4.57,7.42,1.46
2006,8.14,-999,-999,15.34,16.21,1.57,5.17,1.71,16.17,14.37,13.69,11.72,7.3,1.05,10.17,14.55,6.22,13.44,18.47,14.08,12.23,11.01,6.72,4.12,10.34,18.07,1.67,15.28,1.8,5.11,16.4,15.96,2.99,0.54,11.29,8.85,8.9,7.62,11.57,15.96,12.7,2.7,14.1,-999,1.06,13.19,10.87,8.02,5.82,7.96,0.55
