Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Mid-Century/Summer (JJA),MC_SSP245_KS_JJA_Precip_052725.aix,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_KS_JJA_Precip_052725.jpg,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_KS_DJF_Precip_052725.aix,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_KS_DJF_Precip_052725.jpg,"Kansas, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Kansas,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_KY_Annual_Precip_053025.ai,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,Adobe Illustrator source,5/30/25,
Mid-Century/Annual,MC_SSP245_KY_Annual_Precip_052725.aix,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,5/27/25,
Mid-Century/Annual,MC_SSP245_KY_Annual_Precip_052725.jpg,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_KY_SON_Precip_052725.aix,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,5/27/25,
Mid-Century/Fall (SON),MC_SSP245_KY_SON_Precip_052725.jpg,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_KY_MAM_Precip_053025.ai,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),Adobe Illustrator source,5/30/25,
Mid-Century/Spring (MAM),MC_SSP245_KY_MAM_Precip_052725.aix,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,5/27/25,
Mid-Century/Spring (MAM),MC_SSP245_KY_MAM_Precip_052725.jpg,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),JPEG preview image,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_KY_JJA_Precip_052725.aix,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,5/27/25,
Mid-Century/Summer (JJA),MC_SSP245_KY_JJA_Precip_052725.jpg,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Summer (JJA)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_KY_DJF_Precip_052725.aix,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),ArcGIS AIX data file,5/27/25,
Mid-Century/Winter (DJF),MC_SSP245_KY_DJF_Precip_052725.jpg,"Kentucky, Mid-Century, Intermediate emissions (SSP2-4.5), Winter (DJF)",Kentucky,Mid-Century,Intermediate emissions (SSP2-4.5),Winter (DJF),JPEG preview image,5/27/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Louisiana.aix,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,7/8/25,
Mid-Century/Annual,MC_SSP245_Precip_Annual_Louisiana.png,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Annual",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Annual,PNG preview image,7/7/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Louisiana.aix,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,7/8/25,
Mid-Century/Fall (SON),MC_SSP245_Precip_Fall_Louisiana.png,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Fall (SON),PNG preview image,7/7/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Louisiana.aix,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,7/8/25,
Mid-Century/Spring (MAM),MC_SSP245_Precip_Spring_Louisiana.png,"Louisiana, Mid-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Louisiana,Mid-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),PNG preview image,7/7/25,
